Alkalinity,DIC,Temperature,Salinity,Carbonate,Bicarbonate,pCO2,pH
2321.34753,2019.05574,19.0,35.0,214.89499521114263,1793.5782133261464,318.6419998828854,8.129581027324711
2321.34753,2029.8126195,19.0,35.0,207.9334011128934,1810.7321821442563,335.6393443009956,8.111145082980627
2321.34753,2040.569499,19.0,35.0,200.99524932477476,1827.8237036702442,353.8111360156566,8.092326533685737
2321.34753,2051.3263785,19.0,35.0,194.08318125884517,1844.8464491322775,373.268402118718,8.073102723625587
2321.34753,2062.083258,19.0,35.0,187.20013898091185,1861.7933491305098,394.1354174093773,8.053449738375793
2321.34753,2072.8401375,19.0,35.0,180.3494069215745,1878.6564918303213,416.55151388739796,8.03334238699229
2321.34753,2083.597017,19.0,35.0,173.53465935567,1895.4270070401606,440.6731415760015,8.012754209320645
2321.34753,2094.3538965,19.0,35.0,166.76001424708934,1912.094934717665,466.6762065496805,7.991657518631476
2321.34753,2105.1107759999995,19.0,35.0,160.03009398500026,1928.649076622345,494.75870892053206,7.970023492714118
2321.34753,2115.8676555,19.0,35.0,153.35009337735772,1945.076830226341,525.1436965192148,7.947822330292888
2321.34753,2126.624535,19.0,35.0,146.72585497229525,1961.3640047189772,558.0825370907975,7.92502349412616
2321.34753,2137.3814145,19.0,35.0,140.1639512845419,1977.494620150353,593.8584902663379,7.901596067384925
2321.34753,2148.1382939999994,19.0,35.0,133.671772729298,1993.450692657273,632.7905267444808,7.877509255707735
2321.34753,2158.8951735,19.0,35.0,127.25761890569645,2009.2120115567761,675.2372914851899,7.8527330732467036
2321.34753,2169.652053,19.0,35.0,120.93078920545008,2024.755918173179,721.6010350251353,7.827239256174472
2321.34753,2180.4089324999995,19.0,35.0,114.70166642764397,2040.0571018818819,772.3312369801777,7.801002449980682
2321.34753,2191.1658119999997,19.0,35.0,108.5817840699516,2055.0874362214877,827.9275145887226,7.774001715012784
2321.34753,2201.9226914999995,19.0,35.0,102.58386424971417,2069.815887019618,888.9412472498306,7.746222384561238
2321.34753,2212.679571,19.0,35.0,96.7218089982884,2084.208534774309,955.9751647442109,7.717658286685862
2321.34753,2223.4364504999994,19.0,35.0,91.01062352957355,2098.228763657434,1029.6799667044988,7.688314299615587
2321.34753,2234.193329999999,19.0,35.0,85.4662470804789,2111.837676833957,1110.7469107003894,7.65820914634031
2321.34753,2244.9502095,19.0,35.0,80.10526674750476,2124.9947981827977,1199.895299726132,7.6273782457625225
2417.687397,2019.05574,19.0,35.0,282.21634820586183,1729.3480796446124,225.5648087116892,8.263774798034358
2417.687397,2029.8126195,19.0,35.0,275.038145807553,1746.9305461051567,236.18212543546176,8.248192338821863
2417.687397,2040.569499,19.0,35.0,267.87002498828963,1764.4829890808833,247.39989666856604,8.232381688489962
2417.687397,2051.3263785,19.0,35.0,260.71316928790026,1782.002697243524,259.2641244063651,8.216329658084174
2417.687397,2062.083258,19.0,35.0,253.56886447430102,1799.48670454769,271.8254021175909,8.200022329657964
2417.687397,2072.8401375,19.0,35.0,246.43851161793052,1816.9317587673359,285.139468443503,8.183445007102673
2417.687397,2083.597017,19.0,35.0,239.32364192073317,1834.3342857540695,299.2678368833544,8.166582165624217
2417.687397,2094.3538965,19.0,35.0,232.22593355873056,1851.690348789318,314.27851257544756,8.149417400541353
2417.687397,2105.1107759999995,19.0,35.0,225.14723083307223,1868.995602315324,330.246808823641,8.131933376376995
2417.687397,2115.8676555,19.0,35.0,218.08956596322753,1886.2452392357789,347.2562776881351,8.114111777605247
2417.687397,2126.624535,19.0,35.0,211.05518389692665,1903.433930877555,365.3997707168404,8.095933262930027
2417.687397,2137.3814145,19.0,35.0,204.0465705526751,1920.5557586049522,384.780647666002,8.077377425639817
2417.687397,2148.1382939999994,19.0,35.0,197.06648494947908,1937.6041359838528,405.51415271980363,8.05842276344944
2417.687397,2158.8951735,19.0,35.0,190.11799570985602,1954.5717203170275,427.72897906657283,8.039046662353725
2417.687397,2169.652053,19.0,35.0,183.20452243927642,1971.4503123307836,451.56904340957465,8.019225400439522
2417.687397,2180.4089324999995,19.0,35.0,176.32988247667936,1988.230742814299,477.19549161135916,7.998934179398261
2417.687397,2191.1658119999997,19.0,35.0,169.4983434606907,2004.9027451351096,504.7889544973897,7.978147193722344
2417.687397,2201.9226914999995,19.0,35.0,162.71468204140248,2021.4548128339159,534.5520678805065,7.956837750321407
2417.687397,2212.679571,19.0,35.0,155.98424885561982,2037.8740420177676,566.7122617147088,7.934978454604719
2417.687397,2223.4364504999994,19.0,35.0,149.31303953008515,2054.145959130546,601.5248080377459,7.912541482941942
2417.687397,2234.193329999999,19.0,35.0,142.7077709238121,2070.25433602546,639.2760935019651,7.889498965740876
2417.687397,2244.9502095,19.0,35.0,136.1759609937045,2086.1809962750167,680.2870466485681,7.8658235099107445
